Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2026-05-03,20:30,Rio Ave,Gil Vicente,0.0,0.0,D,0.0,0.0,D,1.0,2.0,0.0,0.0,25-26,12,6,34,49,8,13,-19.0,14.0,31,31,83.0,77.0,4.0,4.0,4,12.0,13.0,1.4,1.4,16.0,1.4,1.0,24.0,6,-1.0,-8.0,-33.0,1.096774193548387,1.5806451612903225,-0.4838709677419355,-0.6129032258064516,0.45161290322580644,-1.064516129032258,1
2026-05-03,18:00,Sp Braga,Estoril,1.0,1.0,D,1.0,0.0,H,3.0,3.0,0.0,0.0,25-26,4,10,56,37,16,10,28.0,-1.0,31,31,68.0,75.0,3.0,0.0,14,4.0,8.0,1.2,0.8,24.0,0.8,2.0,0.0,-6,-4.0,24.0,29.0,1.8064516129032258,1.1935483870967742,0.6129032258064515,0.9032258064516129,-0.03225806451612903,0.9354838709677419,1
2026-05-03,15:30,Casa Pia,Tondela,0.0,1.0,A,0.0,0.0,D,8.0,3.0,2.0,0.0,25-26,16,17,26,22,5,4,-26.0,-29.0,31,31,86.0,85.0,2.0,3.0,25,9.0,19.0,0.6,1.4,4.0,0.8,2.6,7.0,-1,-10.0,-3.0,3.0,0.8387096774193549,0.7096774193548387,0.12903225806451613,-0.8387096774193549,-0.9354838709677419,0.09677419354838701,1
2026-05-02,20:30,Porto,Alverca,1.0,0.0,H,1.0,0.0,H,1.0,4.0,0.0,0.0,25-26,1,9,82,38,26,10,48.0,-15.0,31,31,76.0,65.0,2.0,4.0,7,3.0,19.0,2.2,1.0,41.0,1.6,1.6,30.0,-8,-16.0,11.0,63.0,2.6451612903225805,1.2258064516129032,1.4193548387096773,1.5483870967741935,-0.4838709677419355,2.032258064516129,1
2026-05-02,18:00,Famalicao,Benfica,2.0,2.0,D,0.0,2.0,A,2.0,2.0,0.0,1.0,25-26,5,2,51,75,14,22,12.0,47.0,31,31,84.0,60.0,2.0,3.0,21,7.0,2.0,1.4,1.0,27.0,2.4,0.6,41.0,3,5.0,-14.0,-35.0,1.6451612903225807,2.4193548387096775,-0.7741935483870968,0.3870967741935484,1.5161290322580645,-1.129032258064516,1
2026-05-02,15:30,Nacional,AVS,1.0,2.0,A,1.0,1.0,D,4.0,2.0,1.0,0.0,25-26,14,18,31,14,8,1,-7.0,-43.0,31,31,91.0,70.0,6.0,5.0,18,14.0,17.0,1.0,0.6,33.0,0.8,1.4,13.0,-4,-3.0,20.0,36.0,1.0,0.45161290322580644,0.5483870967741935,-0.22580645161290322,-1.3870967741935485,1.1612903225806452,1
2026-05-02,15:30,Moreirense,Estrela,3.0,2.0,H,1.0,2.0,A,4.0,4.0,0.0,0.0,25-26,8,15,39,28,11,6,-11.0,-17.0,31,31,78.0,78.0,3.0,4.0,12,10.0,15.0,0.6,1.4,15.0,1.0,1.2,3.0,-7,-5.0,12.0,6.0,1.2580645161290323,0.9032258064516129,0.3548387096774194,-0.3548387096774194,-0.5483870967741935,0.19354838709677413,1
2026-05-02,15:30,Arouca,Santa Clara,2.0,2.0,D,1.0,1.0,D,3.0,3.0,1.0,0.0,25-26,11,13,35,32,10,8,-21.0,-10.0,31,31,90.0,91.0,9.0,4.0,23,11.0,5.0,1.2,1.0,21.0,1.0,1.4,22.0,-2,6.0,-1.0,-11.0,1.1290322580645162,1.032258064516129,0.09677419354838723,-0.6774193548387096,-0.3225806451612903,-0.3548387096774193,1
2026-04-29,20:15,Sp Lisbon,Tondela,2.0,2.0,D,0.0,0.0,D,2.0,3.0,0.0,0.0,25-26,3,17,72,21,22,4,55.0,-29.0,30,30,68.0,82.0,3.0,3.0,9,1.0,19.0,2.2,1.2,23.0,0.4,2.2,4.0,-14,-18.0,19.0,84.0,2.4,0.7,1.7,1.8333333333333333,-0.9666666666666667,2.8,1
2026-04-27,20:15,Gil Vicente,Casa Pia,2.0,1.0,H,1.0,1.0,D,5.0,3.0,0.0,0.0,25-26,6,16,46,26,12,5,13.0,-25.0,30,30,72.0,83.0,4.0,2.0,20,13.0,9.0,1.4,1.2,14.0,0.4,1.8,6.0,-10,4.0,8.0,38.0,1.5333333333333334,0.8666666666666667,0.6666666666666667,0.43333333333333335,-0.8333333333333334,1.2666666666666666,1
